iter	Passed	Remaining
399	121858	487435
400	122186	487223
401	122475	486856
402	122883	486960
403	123220	486781
404	123574	486671
405	123976	486744
406	124293	486486
407	124659	486415
408	124926	485959
409	125242	485698
410	125578	485509
411	125862	485120
412	126178	484854
413	126512	484658
414	126810	484322
415	127141	484117
416	127510	484048
417	127861	483916
418	128206	483756
419	128473	483305
420	128755	482909
421	129091	482718
422	129429	482529
423	129753	482293
424	130126	482231
425	130459	482027
426	130718	481544
427	131005	481170
428	131373	481091
429	131704	480873
430	131993	480505
431	132321	480276
432	132657	480080
433	133005	479924
434	133243	479369
435	133608	479274
436	133874	478823
437	134245	478747
438	134570	478505
439	134854	478120
440	135127	477695
441	135440	477411
442	135741	477085
443	136040	476755
444	136311	476325
445	136631	476064
446	136949	475798
447	137216	475356
448	137517	475034
449	137864	474867
450	138153	474501
451	138472	474235
452	138752	473839
453	139094	473657
454	139426	473436
455	139743	473167
456	140035	472810
457	140328	472458
458	140639	472168
459	140963	471920
460	141242	471523
461	141541	471192
462	141876	470981
463	142194	470713
464	142521	470475
465	142839	470206
466	143189	470043
467	143490	469716
468	143816	469473
469	144109	469122
470	144410	468798
471	144690	468403
472	144973	468023
473	145309	467811
474	145660	467645
475	145994	467427
476	146344	467259
477	146659	466978
478	146975	466702
479	147309	466480
480	147645	466265
481	147973	466023
482	148295	465765
483	148591	465422
484	148924	465197
485	149274	465022
486	149581	464716
487	149887	464404
488	150187	464075
489	150494	463769
490	150810	463487
491	151138	463244
492	151470	463013
493	151825	462851
494	152140	462569
495	152429	462204
496	152806	462108
497	153138	461875
498	153480	461673
499	153823	461469
500	154127	461150
501	154429	460828
502	154712	460447
503	155014	460123
504	155279	459689
505	155659	459596
506	155983	459334
507	156326	459132
508	156629	458811
509	156949	458539
510	157230	458153
511	157548	457873
512	158014	458025
513	158380	457887
514	158743	457735
515	159119	457622
516	159446	457368
517	159776	457122
518	160075	456785
519	160413	456560
520	160710	456221
521	161056	456017
522	161311	455557
523	161659	455360
524	161945	454990
525	162243	454651
526	162514	454238
527	162795	453855
528	163111	453566
529	163365	453107
530	163677	452811
531	164042	452659
532	164342	452326
533	164641	451994
534	164880	451495
535	165178	451158
536	165497	450881
537	165773	450483
538	166078	450168
539	166391	449873
540	166691	449542
541	167010	449264
542	167296	448898
543	167628	448651
544	168006	448530
545	168310	448212
546	168598	447848
547	168914	447562
548	169228	447269
549	169549	446993
550	169848	446661
551	170147	446330
552	170426	445945
553	170740	445650
554	171045	445333
555	171382	445101
556	171760	444974
557	172075	444683
558	172429	444491
559	172778	444288
560	173065	443922
561	173340	443529
562	173664	443260
563	173975	442957
564	174286	442657
565	174586	442326
566	174950	442158
567	175250	441828
568	175579	441572
569	175950	441420
570	176254	441098
571	176556	440774
572	176905	440565
573	177185	440186
574	177471	439820
575	177790	439538
576	178128	439302
577	178439	438998
578	178723	438629
579	179040	438341
580	179325	437972
581	179636	437670
582	179926	437317
583	180267	437087
584	180572	436769
585	180885	436472
586	181151	436059
587	181460	435752
588	181772	435452
589	182120	435237
590	182470	435027
591	182786	434735
592	183091	434417
593	183411	434134
594	183707	433797
595	184009	433472
596	184286	433088
597	184605	432804
598	184854	432355
599	185222	432185
600	185552	431927
601	185859	431614
602	186164	431296
603	186505	431062
604	186847	430829
605	187190	430599
606	187526	430352
607	187861	430103
608	188176	429809
609	188511	429558
610	188854	429327
611	189180	429055
612	189512	428799
613	189846	428546
614	190171	428273
615	190491	427987
616	190828	427740
617	191132	427419
618	191432	427090
619	191775	426854
620	192084	426544
621	192416	426286
622	192712	425947
623	193052	425706
624	193351	425373
625	193632	425001
626	193908	424618
627	194200	424273
628	194515	423975
629	194853	423729
630	195111	423309
631	195383	422919
632	195662	422543
633	195970	422232
634	196262	421887
635	196551	421535
636	196868	421243
637	197203	420990
638	197486	420624
639	197805	420337
640	198087	419970
641	198404	419678
642	198712	419366
643	199013	419040
644	199336	418760
645	199615	418390
646	199902	418034
647	200208	417719
648	200506	417387
649	200822	417093
650	201152	416828
651	201459	416514
652	201758	416185
653	202119	415983
654	202419	415655
655	202704	415297
656	203019	414999
657	203303	414641
658	203609	414325
659	203893	413965
660	204205	413663
661	204506	413337
662	204821	413041
663	205136	412744
664	205461	412467
665	205774	412167
666	206084	411859
667	206392	411549
668	206734	411306
669	207026	410962
670	207342	410668
671	207734	410523
672	208027	410181
673	208389	409976
674	208658	409589
675	208978	409301
676	209278	408973
677	209576	408644
678	209945	408451
679	210238	408109
680	210552	407809
681	210823	407426
682	211130	407113
683	211461	406847
684	211742	406484
685	212070	406210
686	212376	405896
687	212704	405623
688	212989	405267
689	213281	404925
690	213560	404559
691	213839	404194
692	214141	403870
693	214427	403518
694	214731	403200
695	215032	402876
696	215344	402573
697	215646	402250
698	215914	401865
699	216213	401540
700	216516	401220
701	216825	400911
702	217147	400625
703	217444	400295
704	217714	399915
705	218042	399642
706	218314	399265
707	218637	398982
708	218919	398624
709	219214	398291
710	219518	397972
711	219818	397649
712	220115	397320
713	220420	397003
714	220704	396650
715	221006	396330
716	221338	396062
717	221673	395802
718	222030	395579
719	222321	395237
720	222646	394958
721	222954	394647
722	223257	394329
723	223541	393976
724	223864	393692
725	224183	393402
726	224455	393028
727	224787	392760
728	225108	392472
729	225419	392168
730	225790	391967
731	226074	391615
732	226357	391261
733	226704	391018
734	227024	390729
735	227336	390426
736	227622	390078
737	227957	389813
738	228259	389493
739	228559	389168
740	228854	388837
741	229144	388494
742	229459	388196
743	229759	387874
744	230089	387601
745	230352	387214
746	230623	386842
747	230964	386587
748	231312	386344
749	231591	385985
750	231899	385676
751	232185	385329
752	232481	384999
753	232778	384671
754	233045	384292
755	233292	383883
756	233598	383570
757	233893	383240
758	234186	382906
759	234495	382597
760	234845	382356
761	235152	382044
762	235503	381805
763	235799	381476
764	236146	381230
765	236501	380995
766	236835	380728
767	237189	380491
768	237524	380224
769	237819	379893
770	238119	379569
771	238425	379256
772	238675	378855
773	238972	378526
774	239276	378211
775	239571	377880
776	239873	377561
