iter	MultiClass
139	2.220558507
140	2.219749728
141	2.216260778
142	2.212025936
143	2.208033685
144	2.206171454
145	2.20386756
146	2.200893988
147	2.199623764
148	2.197073738
149	2.194636991
150	2.190844645
151	2.188310444
152	2.187328624
153	2.18373514
154	2.181787534
155	2.17874691
156	2.175059721
157	2.171975785
158	2.169732487
159	2.168898096
160	2.165487441
161	2.161869386
162	2.158491841
163	2.156843049
164	2.153724546
165	2.150157508
166	2.147222042
167	2.143586495
168	2.141900013
169	2.140571692
170	2.136859099
171	2.13382972
172	2.132169059
173	2.130292251
174	2.127050058
175	2.122603442
176	2.119182376
177	2.116101355
178	2.113766434
179	2.112137841
180	2.110289769
181	2.107130869
182	2.103979881
183	2.100857214
184	2.098956667
185	2.094963168
186	2.093398294
187	2.090435549
188	2.090016584
189	2.087218552
190	2.084407401
191	2.083380394
192	2.081830097
193	2.079560769
194	2.076821667
195	2.075721362
196	2.074405327
197	2.071277245
198	2.0695664
199	2.068011938
200	2.065327393
201	2.062313839
202	2.059632418
203	2.057696472
204	2.055826537
205	2.052355703
206	2.049996835
207	2.046752351
208	2.043604487
209	2.04077397
210	2.038366376
211	2.035096903
212	2.033315675
213	2.031049679
214	2.029466898
215	2.02507942
216	2.021173378
217	2.019361956
218	2.01657267
219	2.015674768
220	2.014401837
221	2.011422226
222	2.009683269
223	2.006476475
224	2.00458405
225	2.002048184
226	1.998991942
227	1.996646401
228	1.995191475
229	1.993188061
230	1.99129522
231	1.989214136
232	1.986957927
233	1.984733578
234	1.98320452
235	1.982139823
236	1.980660533
237	1.978726253
238	1.977581178
239	1.974964101
240	1.972246238
241	1.970656793
242	1.968633806
243	1.965867425
244	1.963534587
245	1.960977064
246	1.958070959
247	1.955782683
248	1.952365781
249	1.949919039
250	1.948477856
251	1.947200344
252	1.945529063
253	1.941937037
254	1.939349737
255	1.936997325
256	1.935920133
257	1.933570428
258	1.93191414
259	1.930009012
260	1.929107362
261	1.926406158
262	1.925303146
263	1.922232537
264	1.920182687
265	1.91871839
266	1.917116867
267	1.915043071
268	1.911348594
269	1.909116124
270	1.907335104
271	1.904621823
272	1.902977612
273	1.901595776
274	1.896991944
275	1.893704772
276	1.892232353
277	1.889505329
278	1.887833632
279	1.886925526
280	1.885804189
281	1.884596435
282	1.883383684
283	1.881437535
284	1.87940247
285	1.878224077
286	1.876322282
287	1.873387649
288	1.872389586
289	1.870898219
290	1.86923964
291	1.86624337
292	1.863748317
293	1.861719708
294	1.85856997
295	1.857106922
296	1.854979193
297	1.851378422
298	1.848891074
299	1.845170985
300	1.842845226
301	1.839864157
302	1.836449129
303	1.83417064
304	1.83178491
305	1.830294375
306	1.828397994
307	1.826637381
308	1.823386025
309	1.819921854
310	1.817720411
311	1.81657367
312	1.815729283
313	1.813858931
314	1.81201086
315	1.810705653
316	1.808029854
317	1.80642021
318	1.804533407
319	1.80246919
320	1.799571206
321	1.798289321
322	1.796963499
323	1.793581997
324	1.79143761
325	1.788676227
326	1.785859871
327	1.782952933
328	1.77942067
329	1.777935966
330	1.776616391
331	1.774332695
332	1.772886098
333	1.771840766
334	1.770545763
335	1.768721847
336	1.766555179
337	1.764777907
338	1.763415644
339	1.761879923
340	1.759855269
341	1.758684165
342	1.757545961
343	1.753669905
344	1.751546341
345	1.748827438
346	1.747604691
347	1.74670554
348	1.743858261
349	1.740928105
350	1.739192479
351	1.738548309
352	1.737955365
353	1.734628524
354	1.733358717
355	1.731933984
356	1.729482973
357	1.72794517
358	1.726219748
359	1.725172646
360	1.724534515
361	1.72245645
362	1.721756578
363	1.720276559
364	1.718830795
365	1.716873193
366	1.714826675
367	1.712956114
368	1.710585794
369	1.708279609
370	1.706394472
371	1.704997851
372	1.703846841
373	1.701823229
374	1.699268726
375	1.696447684
376	1.694131608
377	1.691832712
378	1.690386635
379	1.68860801
380	1.686713398
381	1.684883548
382	1.684041452
383	1.682989561
384	1.680467959
385	1.678806673
386	1.676475708
387	1.674501552
388	1.671426986
389	1.670022348
390	1.668377616
391	1.666850016
392	1.664281249
393	1.662625586
394	1.661079765
395	1.659573717
396	1.657695556
397	1.655850712
398	1.654518435
399	1.651988816
400	1.650089728
401	1.649340816
402	1.647208611
403	1.645809282
404	1.643371911
405	1.641483546
406	1.638756938
407	1.636588188
408	1.635142423
409	1.63364054
410	1.631388496
411	1.629291898
412	1.628057491
413	1.625249568
414	1.623923121
415	1.622515359
416	1.620590658
417	1.619114075
418	1.617475591
419	1.615371809
420	1.61308676
421	1.611361755
422	1.610111521
423	1.608297913
424	1.607158147
425	1.606068462
426	1.605550482
427	1.604945043
428	1.60248841
429	1.601166544
430	1.600242821
431	1.599124191
432	1.59679635
433	1.595429298
434	1.594988885
435	1.592634598
436	1.591750335
437	1.590030223
438	1.588108333
439	1.586935146
440	1.585449609
441	1.584190318
442	1.582359113
443	1.581358864
444	1.580210874
445	1.578042019
446	1.575839222
447	1.574493306
448	1.573043273
449	1.570754059
450	1.569894784
451	1.568629558
452	1.567551742
453	1.565368311
454	1.563897246
455	1.562443569
456	1.56067244
457	1.558846649
458	1.557524159
459	1.556107652
460	1.555101156
461	1.553198527
462	1.551439059
463	1.550108656
464	1.548239762
465	1.54724274
466	1.545212465
467	1.544086547
468	1.542040237
469	1.54089183
470	1.539702609
471	1.538079743
472	1.537077619
473	1.535131366
474	1.533714963
475	1.531679377
476	1.528668114
477	1.526338295
478	1.524804136
479	1.522539181
480	1.51960663
481	1.517467449
482	1.516349965
483	1.514541874
484	1.513011046
485	1.509907953
486	1.508391493
487	1.506973319
488	1.505524744
489	1.504191946
490	1.502454135
491	1.501222122
492	1.499666098
493	1.496716472
494	1.494833834
495	1.493499579
496	1.490753501
497	1.488528007
498	1.486345929
499	1.484526282
500	1.483318216
501	1.482194484
502	1.479520768
503	1.47787385
504	1.47691202
505	1.475551943
506	1.474801262
507	1.47307584
508	1.472308292
509	1.47133199
510	1.470131837
511	1.468829233
512	1.467733613
513	1.46684633
514	1.46517911
515	1.46373928
516	1.461696302
517	1.46007052
518	1.458594146
519	1.456079207
520	1.454955476
521	1.452598794
522	1.451699643
523	1.449786915
524	1.448288051
525	1.447337986
526	1.445865984
527	1.444586703
528	1.443791563
529	1.441700796
530	1.439965171
531	1.437126117
532	1.435562493
533	1.434211162
534	1.433614365
535	1.432001389
536	1.430972716
537	1.430098449
538	1.429133599
539	1.427047621
540	1.425498781
541	1.424498324
542	1.423499637
543	1.421334322
544	1.419253654
545	1.417744899
546	1.417093649
547	1.415056502
548	1.414242518
549	1.412659944
550	1.411349115
551	1.410768456
552	1.409897832
553	1.409073228
554	1.407594251
555	1.405924531
556	1.404229616
557	1.402649749
558	1.400940986
559	1.398936635
560	1.397469111
561	1.396374844
562	1.394784878
563	1.393393879
564	1.392700358
565	1.391558718
566	1.389851101
567	1.388814723
568	1.387268798
569	1.385494234
570	1.383886776
571	1.382953474
572	1.380854898
573	1.380153568
574	1.379503047
575	1.37857089
576	1.377608956
577	1.376754158
578	1.376066467
579	1.375066947
580	1.373902818
581	1.373100703
582	1.371992902
583	1.370592532
584	1.369052022
585	1.367676744
586	1.366252324
587	1.365324644
588	1.36422361
589	1.362864679
590	1.361341868
591	1.36026145
592	1.358835467
593	1.357179387
594	1.356004639
595	1.355015322
596	1.354078272
597	1.352849695
598	1.352191573
599	1.351003289
600	1.350408366
601	1.34956752
602	1.349007997
603	1.347670826
604	1.346656209
605	1.345358186
606	1.343838916
607	1.342996299
608	1.340390154
609	1.339346385
610	1.337966838
611	1.336879131
612	1.335488028
613	1.334211766
614	1.333311052
615	1.332620655
616	1.331066505
617	1.329864998
618	1.329041747
619	1.327055617
620	1.32554655
621	1.324761406
622	1.323859652
623	1.322513631
624	1.32167622
625	1.320946154
626	1.320476692
627	1.319762556
628	1.31908611
629	1.318167384
630	1.317799227
631	1.316651965
632	1.315510534
633	1.314249681
634	1.313140734
635	1.312173594
636	1.310780201
637	1.309570469
638	1.308571469
639	1.307555602
640	1.306629172
641	1.305386852
642	1.304381189
643	1.303819375
644	1.302519791
645	1.302118004
646	1.301350144
647	1.300118027
648	1.298774193
649	1.297714389
650	1.295855489
651	1.293911006
652	1.292645572
653	1.290560114
654	1.28967075
655	1.288836879
656	1.28770055
657	1.286121308
658	1.285484322
659	1.284333312
660	1.283690495
661	1.282958763
662	1.281601914
663	1.280851441
664	1.279533845
665	1.278313181
666	1.277095848
667	1.276378901
668	1.275217687
669	1.274106658
670	1.273256337
671	1.272050666
672	1.271239805
673	1.270026637
674	1.269162469
675	1.268048004
676	1.266820884
677	1.266340594
678	1.265073494
679	1.264181214
680	1.263327041
681	1.262965131
682	1.261915426
683	1.260653844
684	1.259668796
685	1.258194608
686	1.257120228
687	1.255670091
688	1.254316574
689	1.253346519
690	1.252646855
691	1.251923868
692	1.251064697
693	1.250516419
694	1.249536889
695	1.249094601
696	1.247871022
697	1.24672199
698	1.246202864
699	1.245545263
700	1.244548138
701	1.242700691
702	1.242183023
703	1.240768702
704	1.240102876
705	1.238639724
706	1.237783885
707	1.236517721
708	1.235708318
709	1.235266864
710	1.234049323
711	1.233308533
712	1.232170329
713	1.231013593
714	1.230347246
715	1.229179577
716	1.227823874
717	1.226676924
718	1.22553289
719	1.225023864
720	1.224285676
721	1.222668952
722	1.221721074
723	1.220871065
724	1.220204302
725	1.219184583
726	1.218301569
727	1.216919733
728	1.215995905
729	1.214896537
730	1.213926274
731	1.213069602
732	1.212451253
733	1.210829115
734	1.209537963
735	1.208611221
736	1.207372232
737	1.206066713
738	1.205487824
739	1.204601583
740	1.203879013
741	1.202854505
742	1.201461528
743	1.200438789
744	1.199250193
745	1.198801867
746	1.198276702
747	1.197137561
748	1.195752185
749	1.194839498
750	1.193821028
751	1.192984555
752	1.192269273
753	1.191707043
754	1.190987701
755	1.190717622
756	1.1898091
757	1.18882426
758	1.187602243
759	1.186510891
760	1.185399238
761	1.184585253
762	1.182624319
763	1.181918304
764	1.180478266
765	1.178019967
766	1.177288964
767	1.176318804
768	1.173964726
769	1.173074424
770	1.171567648
771	1.169935827
772	1.169455849
773	1.168131901
774	1.166326726
775	1.165890477
776	1.164945201
